name,origin_system,destination_system,cargo_type,mass_kg,status
Dilithium Crystal Cluster — Manifest #0001,Ross 128b,TRAPPIST-1e,antimatter,12252.14,manifested
Holographic Data Cubes — Manifest #0002,K2-18b,TRAPPIST-1e,biological,29528.72,pending
Nanite Repair Kits — Manifest #0003,Kepler-442b,Proxima Centauri b,exotic_matter,25272.71,pending
Holographic Data Cubes — Manifest #0004,Wolf 1061c,ScyllaDB Prime,quantum_cells,11029.83,delayed
Stellar Ore Concentrate — Manifest #0005,Cassandra Station,Kepler-442b,quantum_cells,17019.12,manifested
Antimatter Containment Pods — Manifest #0006,ScyllaDB Prime,HD 40307g,biological,19002.57,in_transit
Psionic Amplifier Arrays — Manifest #0007,Gliese 667Cc,Ross 128b,crystalline,36489.29,delayed
Neural Processing Units — Manifest #0008,TRAPPIST-1e,Tau Ceti e,stellar_ore,14665.98,quarantined
Biometric Defense Matrices — Manifest #0009,LHS 1140b,Gliese 667Cc,exotic_matter,35231.55,pending
Dimensional Rift Stabilizers — Manifest #0010,Ross 128b,ScyllaDB Prime,biological,42767.33,pending
Plasma Core Manifolds — Manifest #0011,HD 40307g,Cassandra Station,nanites,8141.08,in_transit
Psionic Amplifier Arrays — Manifest #0012,ScyllaDB Prime,K2-18b,biological,30460.46,manifested
Stellar Ore Concentrate — Manifest #0013,Wolf 1061c,ScyllaDB Prime,dark_matter,18978.98,quarantined
Exotic Matter Canisters — Manifest #0014,K2-18b,Wolf 1061c,nanites,42144.17,pending
Zero-Point Energy Cells — Manifest #0015,ScyllaDB Prime,Kepler-442b,quantum_cells,13394.37,manifested
Nanite Repair Kits — Manifest #0016,LHS 1140b,Gliese 667Cc,dark_matter,19787.64,quarantined
Psionic Amplifier Arrays — Manifest #0017,Tau Ceti e,Proxima Centauri b,mechanical,12338.91,delayed
Biometric Defense Matrices — Manifest #0018,Wolf 1061c,Cassandra Station,quantum_cells,44892.17,delivered
Dark Matter Shielding Panels — Manifest #0019,Gliese 667Cc,ScyllaDB Prime,stellar_ore,24680.86,pending
Stellar Ore Concentrate — Manifest #0020,TRAPPIST-1e,ScyllaDB Prime,quantum_cells,29824.49,delivered
Plasma Core Manifolds — Manifest #0021,HD 40307g,Ross 128b,stellar_ore,12578.19,delayed
Antimatter Containment Pods — Manifest #0022,Kepler-442b,K2-18b,stellar_ore,37546.38,quarantined
Dimensional Rift Stabilizers — Manifest #0023,Gliese 667Cc,TRAPPIST-1e,quantum_cells,7916.31,pending
Subspace Field Generators — Manifest #0024,K2-18b,Cassandra Station,mechanical,25389.01,pending
Subspace Field Generators — Manifest #0025,Ross 128b,Cassandra Station,neural_gel,9953.57,in_transit
Subspace Field Generators — Manifest #0026,Proxima Centauri b,LHS 1140b,crystalline,29951.24,delivered
Graviton Field Emitters — Manifest #0027,Kepler-442b,Proxima Centauri b,antimatter,11980.22,manifested
Neural Processing Units — Manifest #0028,LHS 1140b,TRAPPIST-1e,dark_matter,40803.0,delayed
Ion Drive Regulators — Manifest #0029,Proxima Centauri b,ScyllaDB Prime,stellar_ore,8264.7,delayed
Nanite Repair Kits — Manifest #0030,LHS 1140b,HD 40307g,stellar_ore,37765.71,quarantined
Tachyon Burst Capacitors — Manifest #0031,ScyllaDB Prime,Gliese 667Cc,nanites,21910.62,delayed
Exotic Matter Canisters — Manifest #0032,Tau Ceti e,TRAPPIST-1e,exotic_matter,3210.65,pending
Exotic Matter Canisters — Manifest #0033,LHS 1140b,Wolf 1061c,neural_gel,11018.67,pending
Quantum Flux Regulators — Manifest #0034,K2-18b,Ross 128b,exotic_matter,3379.34,pending
Subspace Field Generators — Manifest #0035,Gliese 667Cc,TRAPPIST-1e,exotic_matter,13931.08,delivered
Dark Matter Shielding Panels — Manifest #0036,ScyllaDB Prime,LHS 1140b,neural_gel,28814.82,manifested
Nanite Repair Kits — Manifest #0037,Tau Ceti e,HD 40307g,biological,4855.57,delivered
Chronoton Particle Filters — Manifest #0038,Gliese 667Cc,Tau Ceti e,dark_matter,43193.2,pending
Antimatter Containment Pods — Manifest #0039,Ross 128b,K2-18b,crystalline,20137.04,in_transit
Nanite Repair Kits — Manifest #0040,TRAPPIST-1e,Cassandra Station,exotic_matter,26818.92,manifested
Psionic Amplifier Arrays — Manifest #0041,HD 40307g,Proxima Centauri b,dark_matter,12497.82,pending
Antimatter Containment Pods — Manifest #0042,Tau Ceti e,LHS 1140b,crystalline,32610.72,delayed
Exotic Matter Canisters — Manifest #0043,Kepler-442b,Proxima Centauri b,mechanical,20326.64,delivered
Quantum Flux Regulators — Manifest #0044,ScyllaDB Prime,Tau Ceti e,mechanical,18954.87,delivered
Dimensional Rift Stabilizers — Manifest #0045,Cassandra Station,Wolf 1061c,quantum_cells,34832.61,quarantined
Ion Drive Regulators — Manifest #0046,Wolf 1061c,K2-18b,mechanical,9502.99,manifested
Holographic Data Cubes — Manifest #0047,Kepler-442b,Ross 128b,crystalline,37401.3,pending
Ion Drive Regulators — Manifest #0048,Kepler-442b,Ross 128b,stellar_ore,45970.16,delayed
Subspace Field Generators — Manifest #0049,Proxima Centauri b,Kepler-442b,biological,42568.61,pending
Exotic Matter Canisters — Manifest #0050,LHS 1140b,TRAPPIST-1e,quantum_cells,6003.13,delayed
Warp Coil Assemblies — Manifest #0051,ScyllaDB Prime,Ross 128b,crystalline,30972.88,delivered
Biometric Defense Matrices — Manifest #0052,Ross 128b,LHS 1140b,stellar_ore,15825.33,in_transit
Zero-Point Energy Cells — Manifest #0053,ScyllaDB Prime,K2-18b,exotic_matter,13288.07,manifested
Dimensional Rift Stabilizers — Manifest #0054,Ross 128b,K2-18b,dark_matter,15815.7,pending
Warp Coil Assemblies — Manifest #0055,Kepler-442b,Wolf 1061c,neural_gel,49804.86,pending
Subspace Field Generators — Manifest #0056,Wolf 1061c,ScyllaDB Prime,antimatter,6631.5,in_transit
Graviton Field Emitters — Manifest #0057,TRAPPIST-1e,Cassandra Station,antimatter,7895.76,delayed
Warp Coil Assemblies — Manifest #0058,K2-18b,Cassandra Station,stellar_ore,401.08,delayed
Antimatter Containment Pods — Manifest #0059,Cassandra Station,K2-18b,mechanical,13230.65,pending
Dark Matter Shielding Panels — Manifest #0060,K2-18b,Wolf 1061c,antimatter,14095.0,manifested
Nanite Repair Kits — Manifest #0061,K2-18b,Gliese 667Cc,antimatter,25275.4,in_transit
Chronoton Particle Filters — Manifest #0062,Kepler-442b,Proxima Centauri b,antimatter,2213.9,in_transit
Psionic Amplifier Arrays — Manifest #0063,Proxima Centauri b,K2-18b,mechanical,37064.13,delayed
Holographic Data Cubes — Manifest #0064,K2-18b,HD 40307g,crystalline,5602.58,quarantined
Quantum Flux Regulators — Manifest #0065,Proxima Centauri b,LHS 1140b,nanites,29129.65,manifested
Quantum Flux Regulators — Manifest #0066,HD 40307g,Proxima Centauri b,antimatter,18238.93,pending
Exotic Matter Canisters — Manifest #0067,Gliese 667Cc,ScyllaDB Prime,biological,17690.39,delayed
Dark Matter Shielding Panels — Manifest #0068,HD 40307g,Ross 128b,exotic_matter,43231.64,manifested
Stellar Ore Concentrate — Manifest #0069,HD 40307g,Kepler-442b,nanites,39121.5,delivered
Psionic Amplifier Arrays — Manifest #0070,Ross 128b,ScyllaDB Prime,mechanical,39370.85,pending
Ion Drive Regulators — Manifest #0071,HD 40307g,Kepler-442b,exotic_matter,9986.65,delivered
Exotic Matter Canisters — Manifest #0072,Gliese 667Cc,Cassandra Station,exotic_matter,1192.99,manifested
Psionic Amplifier Arrays — Manifest #0073,HD 40307g,Gliese 667Cc,biological,48344.79,in_transit
Subspace Field Generators — Manifest #0074,Gliese 667Cc,K2-18b,quantum_cells,33979.11,delayed
Antimatter Containment Pods — Manifest #0075,Gliese 667Cc,Kepler-442b,antimatter,8936.61,in_transit
Warp Coil Assemblies — Manifest #0076,Kepler-442b,Proxima Centauri b,quantum_cells,17290.9,in_transit
Subspace Field Generators — Manifest #0077,HD 40307g,Ross 128b,biological,19265.92,delayed
Quantum Flux Regulators — Manifest #0078,ScyllaDB Prime,Gliese 667Cc,quantum_cells,94.55,delayed
Nanite Repair Kits — Manifest #0079,Ross 128b,K2-18b,nanites,21570.56,quarantined
Zero-Point Energy Cells — Manifest #0080,Gliese 667Cc,Ross 128b,biological,35990.52,in_transit
Chronoton Particle Filters — Manifest #0081,Wolf 1061c,Cassandra Station,nanites,20126.0,in_transit
Nanite Repair Kits — Manifest #0082,Wolf 1061c,Proxima Centauri b,quantum_cells,33249.82,delivered
Warp Coil Assemblies — Manifest #0083,Ross 128b,Proxima Centauri b,neural_gel,15054.48,delayed
Dimensional Rift Stabilizers — Manifest #0084,Kepler-442b,Gliese 667Cc,exotic_matter,21500.11,delayed
Zero-Point Energy Cells — Manifest #0085,LHS 1140b,K2-18b,dark_matter,22094.88,quarantined
Ion Drive Regulators — Manifest #0086,ScyllaDB Prime,LHS 1140b,mechanical,32945.95,in_transit
Warp Coil Assemblies — Manifest #0087,Wolf 1061c,K2-18b,nanites,4678.43,manifested
Exotic Matter Canisters — Manifest #0088,Ross 128b,Cassandra Station,exotic_matter,7376.22,pending
Warp Coil Assemblies — Manifest #0089,ScyllaDB Prime,Wolf 1061c,biological,22776.25,quarantined
Tachyon Burst Capacitors — Manifest #0090,LHS 1140b,ScyllaDB Prime,dark_matter,19988.65,manifested
Antimatter Containment Pods — Manifest #0091,Ross 128b,Kepler-442b,quantum_cells,10949.87,quarantined
Quantum Flux Regulators — Manifest #0092,Wolf 1061c,Tau Ceti e,stellar_ore,12467.42,pending
Plasma Core Manifolds — Manifest #0093,Tau Ceti e,Proxima Centauri b,stellar_ore,49394.74,delayed
Warp Coil Assemblies — Manifest #0094,Gliese 667Cc,Wolf 1061c,stellar_ore,21342.77,delayed
Ion Drive Regulators — Manifest #0095,Tau Ceti e,Proxima Centauri b,dark_matter,12966.99,manifested
Subspace Field Generators — Manifest #0096,Ross 128b,Cassandra Station,dark_matter,31341.15,in_transit
Dimensional Rift Stabilizers — Manifest #0097,Tau Ceti e,TRAPPIST-1e,exotic_matter,13593.04,in_transit
Dark Matter Shielding Panels — Manifest #0098,Wolf 1061c,TRAPPIST-1e,mechanical,11570.76,quarantined
Neural Processing Units — Manifest #0099,Proxima Centauri b,Cassandra Station,quantum_cells,20385.89,delayed
Quantum Flux Regulators — Manifest #0100,Tau Ceti e,HD 40307g,exotic_matter,41646.23,delivered
